🇹🇼台灣,#genre#
5CNN,https://cnn-cnninternational-1-eu.rakuten.wurl.tv/206849c7acd1570962df1ad525fa8688.m3u8?blog.ntnas.top
6民視,http://www.336699.live:1935/blockfour/4gtv-4gtv002.stream/playlist.m3u8
6民視,rtmp://119.81.124.89/sat/tv051
6民視,rtmp://219.80.97.77/sat/tv051
7人間衛視,http://218.32.47.179:8506/http/116.50.42.18:8081/hls/69/811/ch36.m3u8
7人間衛視,http://www.336699.live:1935/blocksix/4gtv-live008.stream/playlist.m3u8
7人間衛視,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8
8台視,http://60.251.33.252:18543/http/192.168.1.9:8081/hls/72/814/ch46.m3u8
8台視,rtmp://119.81.124.89/sat/tv071
8台視,rtmp://219.80.97.77/sat/tv071
9大愛,https://raw.githubusercontent.com/killme1206/YTM/main/33.m3u8
9大愛,http://www.336699.live:1935/blocksix/4gtv-live007.stream/playlist.m3u8
9大愛,http://218.32.47.179:8507/http/116.50.42.18:8081/hls/73/815/ch52.m3u8
9大愛2,https://raw.githubusercontent.com/killme1206/YTM/main/34.m3u8
9大愛2,http://www.336699.live:1935/blocksix/4gtv-live106.stream/playlist.m3u8
9大愛2,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
10中視,rtmp://119.81.124.89/sat/tv091
10中視,rtmp://219.80.97.77/sat/tv091
10中視,http://www.336699.live:1935/blockfour/4gtv-4gtv040.stream/playlist.m3u8
10中視經典綜藝,https://raw.githubusercontent.com/killme1206/YTM/main/46.m3u8
10中視新聞,https://raw.githubusercontent.com/killme1206/YTM/main/44.m3u8
10中視新聞,http://www.336699.live:1935/blockfour/4gtv-4gtv074.stream/playlist.m3u8
12華視,rtmp://119.81.124.89/sat/tv111
12華視,rtmp://219.80.97.77/sat/tv111
12華視,http://www.336699.live:1935/blockfour/4gtv-4gtv041.stream/playlist.m3u8
12華視新聞資訊,http://www.336699.live:1935/blockfour/4gtv-4gtv052.stream/playlist.m3u8
12華視新聞資訊,http://220.134.196.147:9538/http/60.251.39.91:8081/hls/61/803/ch03.m3u8
12華視新聞資訊,http://stream.dsichannel.com/hls/cts-news.m3u8
13公視,http://218.32.47.179:18505/http/116.50.42.18:8081/hls/73/815/ch50.m3u8
13公視,http://220.134.196.147:9572/http/116.50.42.18:8081/hls/73/815/ch50.m3u8
16原住民頻道,http://streamipcf.akamaized.net/live/_definst_/live_720/key_b1500.m3u8
17客家電視台,http://www.336699.live:1935/blockfour/4gtv-4gtv043.stream/playlist.m3u8
18國家地理頻道,http://60.251.59.180:8526/http/116.50.42.18:8081/hls/61/803/ch01.m3u8
20亞洲旅遊,http://www.336699.live:1935/blocksix/litv-longturn17.stream/playlist.m3u8
20亞洲旅遊,http://220.134.196.147:9568/http/116.50.42.18:8081/hls/76/818/ch61.m3u8
21TLC旅遊生活,http://220.134.196.147:9502/http/116.50.42.19:8081/hls/70/812/ch38.m3u8?token=7375646f0018ec77aceebbf3924e73d31e06ebef
22動物星球,http://60.251.59.180:8512/http/116.50.42.18:8088/hls/70/812/ch37.m3u8?token=7375646f37d6b4749c6736c4160c9b3011e5cfda
22動物星球,http://220.134.196.147:9503/http/116.50.42.18:8088/hls/70/812/ch37.m3u8?token=7375646f37d6b4749c6736c4160c9b3011e5cfda
24MOMO親子,http://220.134.196.147:9502/http/116.50.42.18:8088/hls/70/812/ch40.m3u8
24MOMO親子,http://www.336699.live:1935/blocksix/4gtv-live107.stream/playlist.m3u8
25東森幼幼,http://220.134.196.147:9503/http/116.50.42.18:8081/hls/63/805/ch09.m3u8
26緯來綜合,http://123.51.229.65:18540/http/116.50.42.18:8081/hls/68/810/ch32.m3u8
26緯來綜合,http://60.251.33.252:18540/http/116.50.42.18:8081/hls/68/810/ch32.m3u8
26緯來綜合,http://220.134.196.147:9518/http/60.251.39.91:8081/hls/68/810/ch32.m3u8
27八大第一,http://123.51.229.65:18539/http/116.50.42.18:8088/hls/66/808/ch22.m3u8
27八大第一,http://60.251.33.252:18539/http/116.50.42.18:8088/hls/66/808/ch22.m3u8
28八大綜合,http://220.134.196.147:9545/http/116.50.42.18:8081/hls/66/808/ch21.m3u8
29三立台灣,https://sanlihalive1-a.akamaihd.net/5ffd3a166f7241d9b489b7d7241db96f/ap-northeast-1/4338955585001/profile_0/chunklist.m3u8?hdnea=st=1664678506~exp=9007200919419497~acl=/5ffd3a166f7241d9b489b7d7241db96f/*/profile_0/chunklist.m3u8*~hmac=cfd432e7da8eece68fe4a4da3a3bc08ab1bbc50b147a84c95ae3d4a569e932b1
29三立台灣,https://sanlihalive1-a.akamaihd.net/5ffd3a166f7241d9b489b7d7241db96f/ap-northeast-1/4338955585001/profile_1/chunklist.m3u8?hdnea=st=1664678506~exp=9007200919419497~acl=/5ffd3a166f7241d9b489b7d7241db96f/*/profile_1/chunklist.m3u8*~hmac=91a79f89ab6475a9ebdb69c9ff188cae5c1ae81d1afde64daecd53e989c9bfc3
29三立台灣,https://sanlihalive1-a.akamaihd.net/5ffd3a166f7241d9b489b7d7241db96f/ap-northeast-1/4338955585001/profile_2/chunklist.m3u8?hdnea=st=1664678506~exp=9007200919419497~acl=/5ffd3a166f7241d9b489b7d7241db96f/*/profile_2/chunklist.m3u8*~hmac=34c6c254e7df415612fbc4534d54b5e7ccb6d1174b17a27d2a639798d9765173
30三立都會,https://sanlihalive1-a.akamaihd.net/4c3bb0ccad574d0e9b507c2dcd2dfabc/ap-northeast-1/4338955585001/profile_0/chunklist.m3u8?hdnea=st=1664678487~exp=9007200919419478~acl=/4c3bb0ccad574d0e9b507c2dcd2dfabc/*/profile_0/chunklist.m3u8*~hmac=1a3986bd8fb660eacbcc9954c67fb674fa810779ddc2fab5fa77188868ca3686
30三立都會,https://sanlihalive1-a.akamaihd.net/4c3bb0ccad574d0e9b507c2dcd2dfabc/ap-northeast-1/4338955585001/profile_1/chunklist.m3u8?hdnea=st=1664678487~exp=9007200919419478~acl=/4c3bb0ccad574d0e9b507c2dcd2dfabc/*/profile_1/chunklist.m3u8*~hmac=89f79f6442fed7c3b4bc9388123ebb72802d3aa1a6129f24d1a6d59f4fad72dd
30三立都會,https://sanlihalive1-a.akamaihd.net/4c3bb0ccad574d0e9b507c2dcd2dfabc/ap-northeast-1/4338955585001/profile_2/chunklist.m3u8?hdnea=st=1664678487~exp=9007200919419478~acl=/4c3bb0ccad574d0e9b507c2dcd2dfabc/*/profile_2/chunklist.m3u8*~hmac=4d5a5a64d3a2099102a144761bc8c65b0f79b9b0421e984cbba7dde5dec1ccd3
31衛視中文,http://220.134.196.147:9554/http/116.50.42.18:8081/hls/62/804/ch05.m3u8
32東森綜合,http://220.134.196.147:9553/http/116.50.42.18:8081/hls/63/805/ch12.m3u8
36中天綜合,http://220.134.196.147:9503/http/116.50.42.18:8081/hls/67/809/ch25.m3u8
36中天綜合,http://www.336699.live:1935/blocksix/4gtv-live033.stream/playlist.m3u8
37東風衛視,http://123.51.229.65:18560/http/116.50.42.18:8081/hls/68/810/ch31.m3u8
37東風衛視,http://60.251.33.252:18560/http/116.50.42.18:8081/hls/68/810/ch31.m3u8
38年代MUCH,http://220.134.196.147:9550/http/60.251.39.91:8081/hls/72/814/ch45.m3u8
39中天娛樂,http://220.134.196.147:9547/http/116.50.42.18:8081/hls/67/809/ch26.m3u8
40東森戲劇,http://60.251.33.252:18538/http/116.50.42.18:8081/hls/64/806/ch13.m3u8
40東森戲劇,http://123.51.229.65:18538/http/116.50.42.18:8081/hls/64/806/ch13.m3u8
41八大戲劇,http://220.134.196.147:9531/http/60.251.39.91:8081/hls/66/808/ch23.m3u8
42TVBS歡樂,http://www.336699.live:1935/blockfour/4gtv-4gtv068.stream/playlist.m3u8
42TVBS歡樂,rtmp://219.80.97.77/sat/tv421
42TVBS歡樂,rtmp://119.81.124.89/sat/tv421
43緯來戲劇,http://220.134.196.147:9519/http/60.251.39.91:8081/hls/69/811/ch33.m3u8
47東森購物1,http://www.336699.live:1935/blocksix/4gtv-live047.stream/playlist.m3u8
48東森購物2,http://www.336699.live:1935/blocksix/4gtv-live046.stream/playlist.m3u8
50年代新聞,http://220.134.196.147:9517/http/60.251.39.91:8081/hls/67/809/ch27.m3u8
51東森新聞,http://138.2.63.32:9500/live.m3u8?c=2
